	1	2	3	4	5	6	7	8	9	10
H35	0.1637	0.1577	0.1588	0.1586	0.1599	0.1582	0.1569	0.1544	0.1557	0.1589
	0.1642	0.1595	0.1734	0.1755	0.1764	0.1764	0.1732	0.1688	0.1585	0.165
	0.1647	0.1608	0.1633	0.1654	0.169	0.1671	0.1622	0.1594	0.1579	0.1614
	0.1624	0.1634	0.1633	0.1672	0.1674	0.1645	0.1623	0.16	0.1609	0.161
	0.1627	0.1611	0.1612	0.1612	0.1643	0.1643	0.1592	0.1578	0.1592	0.1635
	0.1585	0.1532	0.1734	0.1755	0.1596	0.1595	0.1732	0.1506	0.1499	0.1735
H33	0.1452	0.1415	0.1387	0.1394	0.1360	0.1367	0.1345	0.1317	0.1389	0.1436
	0.1455	0.1411	0.1389	0.1296	0.1300	0.1305	0.1298	0.1297	0.1396	0.1460
	0.1447	0.1442	0.1409	0.1418	0.1455	0.1443	0.1385	0.1355	0.1394	0.1471
	0.1453	0.1410	0.1445	0.1439	0.1464	0.1428	0.1424	0.1384	0.1406	0.1459
	0.1475	0.1721	0.1396	0.1425	0.1433	0.1536	0.1370	0.1351	0.1405	0.1475
	0.1382	0.1346	0.1317	0.1298	0.1372	0.1310	0.1297	0.1275	0.1335	0.1368
H53	0.1657	0.1604	0.1605	0.162	0.1614	0.1618	0.1605	0.1577	0.1602	0.163
	0.1676	0.1637	0.1588	0.1586	0.159	0.1593	0.1589	0.1587	0.1602	0.1667
	0.1666	0.1643	0.1638	0.1693	0.1708	0.1718	0.168	0.1625	0.1593	0.1661
	0.1661	0.1658	0.1656	0.1702	0.1697	0.1699	0.1649	0.1645	0.1638	0.1638
	0.1791	0.1644	0.1653	0.1645	0.1675	0.1679	0.1628	0.1606	0.1612	0.1651
	0.1597	0.1766	0.1765	0.1604	0.1631	0.1633	0.1584	0.1735	0.1736	0.1779
H55	0.1853	0.1839	0.1887	0.1895	0.1939	0.1965	0.1882	0.1842	0.1803	0.1845
	0.1344	0.1346	0.1314	0.1323	0.1309	0.1249	0.125	0.1261	0.1282	0.1314
	0.1362	0.1336	0.1274	0.1259	0.125	0.1218	0.1204	0.1227	0.127	0.1334
	0.1372	0.137	0.1378	0.1387	0.1383	0.1412	0.1343	0.131	0.1305	0.1341
	0.1369	0.137	0.1363	0.1392	0.1413	0.1327	0.1347	0.1336	0.134	0.1294
	0.1489	0.1338	0.1332	0.1343	0.1354	0.1324	0.1417	0.1276	0.13	0.1327
